category,discounted_price,actual_price,discount_percentage,rating,rating_count,venta
1,408,32,53,4.1,8131,1
1,408,32,53,4.1,8131,1
1,487,47,38,4.2,179692,1
2,350,313,12,4.3,27201,1
1,260,252,18,4.3,31534,1
1,471,444,23,4.5,54405,1
1,264,368,51,4.3,253105,1
2,362,349,24,4.2,30023,1
2,390,127,73,4.2,30023,1
2,350,405,45,4.4,12091,1
4,52,63,0,4.3,9331,1
2,26,63,5,4.5,20668,1
1,523,105,45,4.1,22375,1
4,490,439,13,4.2,6055,1
1,455,54,49,4.2,179691,1
1,430,349,0,4.3,355,1
1,430,349,0,4.3,355,1
1,393,445,45,4.2,179691,1
4,80,135,3,4.3,7681,1
4,358,342,8,3.9,3815,1
1,91,180,15,4.3,20398,1
4,64,95,77,4.3,37974,1
4,448,25,42,4.1,37126,1
4,493,423,2,4.2,46647,1
4,201,263,24,3.7,13406,1
4,19,101,26,4.2,5967,1
4,72,113,2,3.6,11456,1
1,455,445,28,3.5,7222,1
4,9,116,37,4.2,9772,1
4,177,210,20,3.6,468,1
4,174,227,27,4.1,1716,1
4,487,18,27,4.0,2446,1
4,38,82,5,3.7,787,1
4,538,440,22,4.3,7223,1
1,255,366,54,4.3,54315,1
1,46,172,35,4.2,156638,1
4,209,263,17,4.2,3740,1
4,488,427,7,4.2,18462,1
4,414,383,17,4.1,36017,1
7,411,337,44,4.4,12179,1
4,545,441,0,4.2,4740,1
4,471,419,9,4.1,1106,1
2,244,175,0,3.9,13971,1
1,243,313,45,4.2,22860,1
1,33,149,35,4.2,17413,1
8,132,66,0,4.3,15867,1
2,518,16,13,4.4,31599,1
4,444,354,0,4.1,10907,1
4,279,329,32,4.2,39724,1
1,62,248,51,4.2,16182,1
4,393,359,12,4.2,5355,1
1,273,375,52,4.1,2957,1
2,382,349,14,4.4,44054,1
1,249,375,59,3.8,2399,1
1,273,375,52,3.9,1454,1
4,286,314,23,4.1,1127,1
1,234,375,62,4.4,8372,1
4,176,202,18,3.8,1558,1
4,12,19,0,4.2,13250,1
4,19,89,21,3.6,13300,1
4,94,225,31,4.2,41349,1
4,447,414,18,4.1,13165,1
7,419,383,14,4.4,3182,1
4,36,109,18,4.0,8031,1
4,432,13,38,4.2,10429,1
7,413,331,0,4.4,4426,1
4,431,416,20,4.6,6550,1
4,94,156,6,4.2,7801,1
4,306,214,0,4.5,5882,1
4,190,321,45,3.8,1889,1
1,82,335,62,4.2,49551,1
7,114,104,24,4.4,8053,1
7,246,216,12,4.5,3785,1
7,389,354,12,4.3,5719,1
7,101,0,0,4.3,3095,1
7,532,0,1,4.3,3061,1
7,147,139,6,4.3,2450,1
4,511,414,0,4.0,3246,1
4,36,71,1,3.9,2602,1
2,227,175,1,4.4,26556,1
4,158,146,6,4.4,7203,1
4,231,152,0,4.5,9427,1
7,227,146,0,4.1,4798,1
4,214,152,4,4.4,10170,1
7,122,77,5,4.4,6537,1
7,134,77,11,4.5,8618,1
7,258,223,6,4.0,3686,1
1,345,201,85,3.5,15233,1
1,193,229,13,4.4,22618,1
7,532,97,43,4.4,7429,1
4,120,85,13,3.9,14778,1
2,273,271,17,3.8,40895,1
1,92,196,24,4.6,10760,1
1,217,374,67,4.5,107687,1
1,217,374,67,4.5,107686,1
1,163,394,70,4.5,74976,1
1,163,394,70,4.5,74976,1
1,273,310,31,4.3,10911,1
1,273,412,59,4.5,74977,1
4,199,263,25,4.0,15034,1
1,273,313,34,4.5,21010,1
4,0,48,14,3.8,15592,1
4,45,86,2,4.1,14120,1
4,549,62,26,4.1,12999,1
1,273,408,59,4.3,1902,1
4,409,365,12,4.1,7229,1
7,104,30,44,4.2,8938,1
7,463,393,2,4.1,1269,1
7,134,77,11,4.5,4428,1
4,268,313,35,4.1,4238,1
2,417,332,0,4.5,4875,1
2,160,313,57,3.7,1383,1
1,376,349,17,4.0,3231,1
7,532,0,1,4.1,6199,1
4,436,429,20,4.3,2810,1
4,138,201,40,4.6,2781,1
4,455,372,22,4.1,7786,1
4,393,434,41,4.1,3036,1
4,49,89,3,4.4,3543,1
4,198,186,0,4.4,2518,1
7,162,412,72,4.1,9344,1
1,345,262,0,3.6,13572,1
1,9,110,36,4.5,22420,1
4,204,254,18,3.9,32931,1
4,546,442,0,4.3,5036,1
4,200,321,40,4.0,26164,1
2,486,405,55,4.0,13797,1
4,173,250,35,4.1,31388,1
4,71,89,0,4.2,14290,1
2,135,104,3,4.3,989,1
1,417,102,65,4.3,28829,1
2,546,94,36,4.5,11339,1
1,243,265,31,3.4,4642,1
4,549,8,66,4.1,9275,1
4,451,362,0,4.3,4570,1
1,28,101,20,4.1,25771,1
4,9,110,36,4.3,15276,1
1,255,412,62,3.6,10134,1
1,255,412,62,3.6,10134,1
4,205,251,14,4.3,6987,1
1,195,219,8,4.5,16146,1
4,395,389,20,3.9,3584,1
2,304,303,28,4.4,426973,1
2,304,57,75,4.4,426973,1
2,254,216,7,4.5,28030,1
2,343,271,44,4.4,2111,1
4,19,164,45,3.9,1202,1
2,500,93,48,4.1,28638,1
2,388,349,12,4.3,11687,1
1,514,445,6,4.1,6736,1
1,500,96,49,4.1,5626,1
2,154,313,59,4.2,25,0
1,282,276,12,3.9,15783,1
1,76,200,31,4.3,20342,1
